fishtype_id,recipe_id
aca2042a-cffa-11ed-afa1-0242ac120002,4e7e8b10-cff6-11ed-afa1-0242ac120002
aca1f1e2-cffa-11ed-afa1-0242ac120002,4e7e8dae-cff6-11ed-afa1-0242ac120002
aca1f1e2-cffa-11ed-afa1-0242ac120002,4e7e8f02-cff6-11ed-afa1-0242ac120002
aca1f4a8-cffa-11ed-afa1-0242ac120002,4e7e9952-cff6-11ed-afa1-0242ac120002
aca1f5a2-cffa-11ed-afa1-0242ac120002,4e7e9fd8-cff6-11ed-afa1-0242ac120002
aca1f5a2-cffa-11ed-afa1-0242ac120002,4e7ea7f8-cff6-11ed-afa1-0242ac120002
aca1f5a2-cffa-11ed-afa1-0242ac120002,4e7ea938-cff6-11ed-afa1-0242ac120002
aca1f5a2-cffa-11ed-afa1-0242ac120002,4e7eaa64-cff6-11ed-afa1-0242ac120002
aca1f69c-cffa-11ed-afa1-0242ac120002,4e7eb090-cff6-11ed-afa1-0242ac120002
aca1f69c-cffa-11ed-afa1-0242ac120002,4e7eb202-cff6-11ed-afa1-0242ac120002
aca1f93a-cffa-11ed-afa1-0242ac120002,4e7eb64e-cff6-11ed-afa1-0242ac120002
aca1f93a-cffa-11ed-afa1-0242ac120002,4e7ea938-cff6-11ed-afa1-0242ac120002
aca1f93a-cffa-11ed-afa1-0242ac120002,4e7eb32e-cff6-11ed-afa1-0242ac120002
aca1fa3e-cffa-11ed-afa1-0242ac120002,4e7eb7e8-cff6-11ed-afa1-0242ac120002
aca1fa3e-cffa-11ed-afa1-0242ac120002,4e7eb932-cff6-11ed-afa1-0242ac120002
aca2042a-cffa-11ed-afa1-0242ac120002,4e7eba68-cff6-11ed-afa1-0242ac120002
aca1fb2e-cffa-11ed-afa1-0242ac120002,4e7ec170-cff6-11ed-afa1-0242ac120002
aca1fc82-cffa-11ed-afa1-0242ac120002,4e7ec2c4-cff6-11ed-afa1-0242ac120002
aca20344-cffa-11ed-afa1-0242ac120002,4e7ea938-cff6-11ed-afa1-0242ac120002
aca20344-cffa-11ed-afa1-0242ac120002,4e7eaa64-cff6-11ed-afa1-0242ac120002
aca20344-cffa-11ed-afa1-0242ac120002,4e7ec3f0-cff6-11ed-afa1-0242ac120002
aca20344-cffa-11ed-afa1-0242ac120002,4e7ec53a-cff6-11ed-afa1-0242ac120002
aca1fe4e-cffa-11ed-afa1-0242ac120002,4e7ec670-cff6-11ed-afa1-0242ac120002
aca1fe4e-cffa-11ed-afa1-0242ac120002,4e7ecc88-cff6-11ed-afa1-0242ac120002
aca1ffe8-cffa-11ed-afa1-0242ac120002,4e7ece0e-cff6-11ed-afa1-0242ac120002
aca200ec-cffa-11ed-afa1-0242ac120002,4e7ecf4e-cff6-11ed-afa1-0242ac120002
aca200ec-cffa-11ed-afa1-0242ac120002,4e7ea938-cff6-11ed-afa1-0242ac120002
aca201c8-cffa-11ed-afa1-0242ac120002,4e7ed08e-cff6-11ed-afa1-0242ac120002
aca201c8-cffa-11ed-afa1-0242ac120002,4e7ea69a-cff6-11ed-afa1-0242ac120002
